Species,Longitude,Latitude,Range
b_dorsalis,-1.583,8.583,Invasive
b_dorsalis,81.25,8.583,Native
b_dorsalis,-13.25,8.417,Invasive
b_dorsalis,1.917,8.417,Invasive
b_dorsalis,80.417,8.417,Native
b_dorsalis,99.917,8.417,Native
b_dorsalis,-1.583,8.25,Invasive
b_dorsalis,1.917,8.25,Invasive
b_dorsalis,34.583,8.25,Invasive
b_dorsalis,79.75,8.25,Native
b_dorsalis,80.417,8.25,Native
b_dorsalis,2.417,8.083,Invasive
b_dorsalis,77.583,8.083,Native
b_dorsalis,79.75,8.083,Native
b_dorsalis,80.917,8.083,Native
b_dorsalis,1.917,7.917,Invasive
b_dorsalis,2.25,7.917,Invasive
b_dorsalis,80.083,7.917,Native
b_dorsalis,80.583,7.917,Native
b_dorsalis,80.75,7.917,Native
b_dorsalis,80.917,7.917,Native
b_dorsalis,-8.417,7.75,Invasive
b_dorsalis,-8.25,7.75,Invasive
b_dorsalis,2.25,7.75,Invasive
b_dorsalis,8.583,7.75,Invasive
b_dorsalis,80.583,7.75,Native
b_dorsalis,-8.25,7.583,Invasive
b_dorsalis,-1.917,7.583,Invasive
b_dorsalis,0.583,7.583,Invasive
b_dorsalis,0.75,7.583,Invasive
b_dorsalis,3.917,7.583,Invasive
b_dorsalis,5.75,7.583,Invasive
b_dorsalis,80.417,7.583,Native
b_dorsalis,80.75,7.583,Native
b_dorsalis,1.917,7.417,Invasive
b_dorsalis,2.583,7.417,Invasive
b_dorsalis,3.917,7.417,Invasive
b_dorsalis,13.583,7.417,Invasive
b_dorsalis,79.917,7.417,Native
b_dorsalis,2.083,7.25,Invasive
b_dorsalis,2.25,7.25,Invasive
b_dorsalis,3.417,7.25,Invasive
b_dorsalis,79.917,7.25,Native
b_dorsalis,80.083,7.25,Native
b_dorsalis,80.25,7.25,Native
b_dorsalis,80.583,7.25,Native
b_dorsalis,80.75,7.25,Native
b_dorsalis,81.083,7.25,Native
b_dorsalis,0.25,7.083,Invasive
b_dorsalis,0.583,7.083,Invasive
b_dorsalis,0.75,7.083,Invasive
b_dorsalis,3.917,7.083,Invasive
b_dorsalis,38.417,7.083,Invasive
b_dorsalis,79.917,7.083,Native
b_dorsalis,80.083,7.083,Native
b_dorsalis,80.583,7.083,Native
b_dorsalis,81.25,7.083,Native
b_dorsalis,-10.25,6.917,Invasive
b_dorsalis,-5.25,6.917,Invasive
b_dorsalis,0.583,6.917,Invasive
b_dorsalis,0.75,6.917,Invasive
b_dorsalis,2.25,6.917,Invasive
b_dorsalis,3.917,6.917,Invasive
b_dorsalis,37.75,6.917,Invasive
b_dorsalis,79.917,6.917,Native
b_dorsalis,80.917,6.917,Native
b_dorsalis,81.25,6.917,Native
b_dorsalis,81.417,6.917,Native
b_dorsalis,-1.583,6.75,Invasive
b_dorsalis,2.083,6.75,Invasive
b_dorsalis,37.75,6.75,Invasive
b_dorsalis,38.417,6.75,Invasive
b_dorsalis,79.917,6.75,Native
b_dorsalis,80.417,6.75,Native
b_dorsalis,1.75,6.583,Invasive
b_dorsalis,14.25,6.583,Invasive
b_dorsalis,80.083,6.583,Native
b_dorsalis,2.083,6.417,Invasive
b_dorsalis,2.417,6.417,Invasive
b_dorsalis,2.583,6.417,Invasive
b_dorsalis,3.417,6.417,Invasive
b_dorsalis,38.25,6.417,Invasive
b_dorsalis,81.417,6.417,Native
b_dorsalis,-0.417,6.25,Invasive
b_dorsalis,0.583,6.25,Invasive
b_dorsalis,1.25,6.25,Invasive
b_dorsalis,6.75,6.25,Invasive
b_dorsalis,37.75,6.25,Invasive
b_dorsalis,-0.75,6.083,Invasive
b_dorsalis,0.917,6.083,Invasive
b_dorsalis,1.25,6.083,Invasive
b_dorsalis,37.583,6.083,Invasive
b_dorsalis,-5.417,5.917,Invasive
b_dorsalis,0.083,5.917,Invasive
b_dorsalis,13.417,5.917,Invasive
b_dorsalis,-0.25,5.75,Invasive
b_dorsalis,-0.083,5.75,Invasive
b_dorsalis,-4.083,5.583,Invasive
b_dorsalis,-0.25,5.583,Invasive
b_dorsalis,10.083,5.583,Invasive
b_dorsalis,10.25,5.583,Invasive
b_dorsalis,10.583,5.583,Invasive
b_dorsalis,14.083,5.583,Invasive
b_dorsalis,-4.083,5.417,Invasive
b_dorsalis,-3.917,5.417,Invasive
b_dorsalis,-1.25,5.083,Invasive
b_dorsalis,8.25,4.917,Invasive
b_dorsalis,11.083,4.917,Invasive
b_dorsalis,9.417,4.583,Invasive
b_dorsalis,11.25,4.583,Invasive
b_dorsalis,13.75,4.583,Invasive
b_dorsalis,9.417,4.417,Invasive
